2024-05-20T08:44:34,693553452+02:00;temperature.gpu=48.9;temperature.cpu=48.85;temperature.env=29.8;humidity=41.1;
2024-05-20T08:44:35,723928951+02:00;temperature.gpu=48.9;temperature.cpu=48.85;temperature.env=29.8;humidity=41.1;
2024-05-20T08:44:36,757293154+02:00;temperature.gpu=48.9;temperature.cpu=48.85;temperature.env=29.8;humidity=41.1;
2024-05-20T08:44:37,811647656+02:00;temperature.gpu=47.2;temperature.cpu=47.236;temperature.env=29.8;humidity=41.1;
2024-05-20T08:44:38,860426766+02:00;temperature.gpu=47.2;temperature.cpu=47.236;temperature.env=29.4;humidity=41.8;
2024-05-20T08:44:39,915079510+02:00;temperature.gpu=47.2;temperature.cpu=47.236;temperature.env=29.4;humidity=41.8;
2024-05-20T08:44:40,951097723+02:00;temperature.gpu=47.2;temperature.cpu=47.236;temperature.env=29.4;humidity=41.8;
2024-05-20T08:44:41,997014813+02:00;temperature.gpu=47.2;temperature.cpu=47.236;temperature.env=29.4;humidity=41.8;
2024-05-20T08:44:43,061709272+02:00;temperature.gpu=46.2;temperature.cpu=46.16;temperature.env=29.4;humidity=41.8;
2024-05-20T08:44:44,113099360+02:00;temperature.gpu=46.2;temperature.cpu=46.16;temperature.env=29.1;humidity=42.4;
2024-05-20T08:44:45,153453801+02:00;temperature.gpu=46.2;temperature.cpu=46.16;temperature.env=29.1;humidity=42.4;
2024-05-20T08:44:46,184522715+02:00;temperature.gpu=46.2;temperature.cpu=46.16;temperature.env=29.1;humidity=42.4;
2024-05-20T08:44:47,216586012+02:00;temperature.gpu=46.2;temperature.cpu=46.16;temperature.env=29.1;humidity=42.4;
2024-05-20T08:44:48,249784490+02:00;temperature.gpu=45.1;temperature.cpu=45.084;temperature.env=29.1;humidity=42.4;
2024-05-20T08:44:49,283725450+02:00;temperature.gpu=45.1;temperature.cpu=45.084;temperature.env=28.7;humidity=43.1;
2024-05-20T08:44:50,334696257+02:00;temperature.gpu=45.1;temperature.cpu=45.084;temperature.env=28.7;humidity=43.1;
2024-05-20T08:44:51,368293255+02:00;temperature.gpu=45.1;temperature.cpu=45.084;temperature.env=28.7;humidity=43.1;
2024-05-20T08:44:52,400212806+02:00;temperature.gpu=44.5;temperature.cpu=44.546;temperature.env=28.7;humidity=43.1;
2024-05-20T08:44:53,434890759+02:00;temperature.gpu=44.5;temperature.cpu=44.546;temperature.env=28.4;humidity=43.7;
2024-05-20T08:44:54,466501350+02:00;temperature.gpu=44.5;temperature.cpu=44.546;temperature.env=28.4;humidity=43.7;
2024-05-20T08:44:55,498196113+02:00;temperature.gpu=44.5;temperature.cpu=44.546;temperature.env=28.4;humidity=43.7;
2024-05-20T08:44:56,526051909+02:00;temperature.gpu=44.5;temperature.cpu=44.546;temperature.env=28.4;humidity=43.7;
2024-05-20T08:44:57,555937698+02:00;temperature.gpu=43.5;temperature.cpu=44.008;temperature.env=28.4;humidity=43.7;
2024-05-20T08:44:58,586591167+02:00;temperature.gpu=43.5;temperature.cpu=44.008;temperature.env=28.1;humidity=44.5;
2024-05-20T08:44:59,617483410+02:00;temperature.gpu=43.5;temperature.cpu=44.008;temperature.env=28.1;humidity=44.5;
2024-05-20T08:45:00,647141813+02:00;temperature.gpu=43.5;temperature.cpu=44.008;temperature.env=28.1;humidity=44.5;
2024-05-20T08:45:01,687266094+02:00;temperature.gpu=43.5;temperature.cpu=44.008;temperature.env=28.1;humidity=44.5;
2024-05-20T08:45:02,716923742+02:00;temperature.gpu=42.9;temperature.cpu=43.47;temperature.env=28.1;humidity=44.5;
2024-05-20T08:45:03,746762564+02:00;temperature.gpu=42.9;temperature.cpu=43.47;temperature.env=27.8;humidity=45.1;
2024-05-20T08:45:04,782861221+02:00;temperature.gpu=42.9;temperature.cpu=43.47;temperature.env=27.8;humidity=45.1;
2024-05-20T08:45:05,826186423+02:00;temperature.gpu=42.9;temperature.cpu=43.47;temperature.env=27.8;humidity=45.1;
2024-05-20T08:45:06,864112443+02:00;temperature.gpu=42.9;temperature.cpu=43.47;temperature.env=27.8;humidity=45.1;
2024-05-20T08:45:07,912865843+02:00;temperature.gpu=42.9;temperature.cpu=42.394;temperature.env=27.8;humidity=45.1;
2024-05-20T08:45:08,955248552+02:00;temperature.gpu=42.9;temperature.cpu=42.394;temperature.env=27.5;humidity=45.6;
2024-05-20T08:45:10,005443010+02:00;temperature.gpu=42.9;temperature.cpu=42.394;temperature.env=27.5;humidity=45.6;
2024-05-20T08:45:11,032336108+02:00;temperature.gpu=42.9;temperature.cpu=42.394;temperature.env=27.5;humidity=45.6;
2024-05-20T08:45:12,081748001+02:00;temperature.gpu=42.9;temperature.cpu=42.394;temperature.env=27.5;humidity=45.6;
2024-05-20T08:45:13,121424072+02:00;temperature.gpu=42.4;temperature.cpu=42.394;temperature.env=27.5;humidity=45.6;
2024-05-20T08:45:14,151385619+02:00;temperature.gpu=42.4;temperature.cpu=42.394;temperature.env=27.3;humidity=46.2;
2024-05-20T08:45:15,189511118+02:00;temperature.gpu=42.4;temperature.cpu=42.394;temperature.env=27.3;humidity=46.2;
