timeInSecondsSinceEpoch;source;destination;databytes
1717607610.491133;192.168.1.1.8888;172.23.69.13.59034;b7951484386f
1717607610.491201;192.168.1.1.8888;172.23.69.13.59034;ca19354f138f
1717607610.523525;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.523565;192.168.1.1.8888;172.23.69.13.59034;8112d78ffbfa
1717607610.523760;192.168.1.1.8888;172.23.69.13.59034;598c4ebdd94c
1717607610.524047;192.168.1.1.8888;172.23.69.13.59034;f2bc64764a7e
1717607610.524105;192.168.1.1.8888;172.23.69.13.59034;5f601edfc485
1717607610.524363;192.168.1.1.8888;172.23.69.13.59034;286d8a9426d6
1717607610.524503;192.168.1.1.8888;172.23.69.13.59034;b5d5d862d034
1717607610.524623;192.168.1.1.8888;172.23.69.13.59034;d2bd11346bca
1717607610.524698;192.168.1.1.8888;172.23.69.13.59034;b52ebc3c01b6
1717607610.524855;192.168.1.1.8888;172.23.69.13.59034;cd7cf7a5c066
1717607610.524935;192.168.1.1.8888;172.23.69.13.59034;bb957710f70e
1717607610.525103;192.168.1.1.8888;172.23.69.13.59034;06f9374f5add
1717607610.525181;192.168.1.1.8888;172.23.69.13.59034;a95ab6c361cb
1717607610.525346;192.168.1.1.8888;172.23.69.13.59034;5d190622c957
1717607610.525427;192.168.1.1.8888;172.23.69.13.59034;75ddb57b99af
1717607610.525604;192.168.1.1.8888;172.23.69.13.59034;d3c4b4618fad
1717607610.525679;192.168.1.1.8888;172.23.69.13.59034;d3f9459045cf
1717607610.525836;192.168.1.1.8888;172.23.69.13.59034;127c610fb818
1717607610.525975;192.168.1.1.8888;172.23.69.13.59034;428d0dfd0b00
1717607610.526045;192.168.1.1.8888;172.23.69.13.59034;c50cfd50b217
1717607610.526230;192.168.1.1.8888;172.23.69.13.59034;bcdf8215180b
1717607610.557481;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.559079;192.168.1.1.8888;172.23.69.13.59034;daafd0bd7851
1717607610.559102;192.168.1.1.8888;172.23.69.13.59034;e3504eafa05a
1717607610.559141;192.168.1.1.8888;172.23.69.13.59034;d0c8695a99a2
1717607610.559156;192.168.1.1.8888;172.23.69.13.59034;e5840b1714cc
1717607610.594790;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607610.594850;192.168.1.1.8888;172.23.69.13.59034;f9c174a6fe7c
1717607610.596027;192.168.1.1.8888;172.23.69.13.59034;d03a0f5fd883
1717607610.596068;192.168.1.1.8888;172.23.69.13.59034;92ade1020e13
1717607610.596103;192.168.1.1.8888;172.23.69.13.59034;ce0d459b3433
1717607610.596111;192.168.1.1.8888;172.23.69.13.59034;ee022ed80387
1717607610.622053;192.168.1.1.8888;172.23.69.13.59034;00000001219a
