timeInSecondsSinceEpoch;source;destination;databytes
1717607709.986644;192.168.1.1.8888;172.23.69.13.59034;51bfe0f59b4c
1717607709.986756;192.168.1.1.8888;172.23.69.13.59034;d754f809682b
1717607709.986882;192.168.1.1.8888;172.23.69.13.59034;cfe2a8165cdd
1717607709.987036;192.168.1.1.8888;172.23.69.13.59034;0edb852aaf3f
1717607709.987135;192.168.1.1.8888;172.23.69.13.59034;00df54ea3366
1717607709.987294;192.168.1.1.8888;172.23.69.13.59034;349b351ac514
1717607709.987382;192.168.1.1.8888;172.23.69.13.59034;7a17942ba378
1717607709.987515;192.168.1.1.8888;172.23.69.13.59034;85546091fb3c
1717607709.987608;192.168.1.1.8888;172.23.69.13.59034;75ad0f096e86
1717607709.987767;192.168.1.1.8888;172.23.69.13.59034;7c6cfe10e624
1717607709.987861;192.168.1.1.8888;172.23.69.13.59034;f71c9da97b4b
1717607709.987988;192.168.1.1.8888;172.23.69.13.59034;be754de88116
1717607709.988102;192.168.1.1.8888;172.23.69.13.59034;3805ae9e5fab
1717607709.988231;192.168.1.1.8888;172.23.69.13.59034;760b2e069d07
1717607709.992268;192.168.1.1.8888;172.23.69.13.59034;5f2f19d9e49c
1717607709.992316;192.168.1.1.8888;172.23.69.13.59034;8de6c617d729
1717607710.019712;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.019753;192.168.1.1.8888;172.23.69.13.59034;ab850550ad7c
1717607710.019784;192.168.1.1.8888;172.23.69.13.59034;0dd0884bb281
1717607710.020144;192.168.1.1.8888;172.23.69.13.59034;589db98228c0
1717607710.026595;192.168.1.1.8888;172.23.69.13.59034;75280e4d5b79
1717607710.026635;192.168.1.1.8888;172.23.69.13.59034;34d5c03f09f4
1717607710.026643;192.168.1.1.8888;172.23.69.13.59034;f4fef9f8839f
1717607710.053025;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.053064;192.168.1.1.8888;172.23.69.13.59034;1d4586c36dba
1717607710.053108;192.168.1.1.8888;172.23.69.13.59034;4bded481b486
1717607710.053225;192.168.1.1.8888;172.23.69.13.59034;050f3e65b1ee
1717607710.053350;192.168.1.1.8888;172.23.69.13.59034;ddc5979ecefb
1717607710.053467;192.168.1.1.8888;172.23.69.13.59034;a28be3b0987e
1717607710.053597;192.168.1.1.8888;172.23.69.13.59034;38bcff38675d
1717607710.053713;192.168.1.1.8888;172.23.69.13.59034;cf75a758a722
1717607710.053842;192.168.1.1.8888;172.23.69.13.59034;65eb4fcbaa81
1717607710.053959;192.168.1.1.8888;172.23.69.13.59034;7b4fd66ae2f5
1717607710.054096;192.168.1.1.8888;172.23.69.13.59034;1ec0c3f48cbf
1717607710.054206;192.168.1.1.8888;172.23.69.13.59034;c81d052c9a85
1717607710.054337;192.168.1.1.8888;172.23.69.13.59034;561f943536d1
1717607710.054458;192.168.1.1.8888;172.23.69.13.59034;917f6dcfdff7
1717607710.054578;192.168.1.1.8888;172.23.69.13.59034;75fe90e226e6
1717607710.054697;192.168.1.1.8888;172.23.69.13.59034;014bb6911b69
1717607710.054859;192.168.1.1.8888;172.23.69.13.59034;f92a24b1c29e
1717607710.054952;192.168.1.1.8888;172.23.69.13.59034;94f60033fe4d
1717607710.055066;192.168.1.1.8888;172.23.69.13.59034;d72d20cf9363
1717607710.055192;192.168.1.1.8888;172.23.69.13.59034;72891978afbe
1717607710.055311;192.168.1.1.8888;172.23.69.13.59034;14495183bdbb
1717607710.055439;192.168.1.1.8888;172.23.69.13.59034;92f5f9ade02c
1717607710.055558;192.168.1.1.8888;172.23.69.13.59034;14b7126266e9
1717607710.055690;192.168.1.1.8888;172.23.69.13.59034;5cab53c23597
1717607710.055819;192.168.1.1.8888;172.23.69.13.59034;330e73c1f724
1717607710.055951;192.168.1.1.8888;172.23.69.13.59034;22b6418993ba
1717607710.086278;192.168.1.1.8888;172.23.69.13.59034;00000001219a
1717607710.086308;192.168.1.1.8888;172.23.69.13.59034;b1a4394882cc
1717607710.086360;192.168.1.1.8888;172.23.69.13.59034;a19ea91ee36f
1717607710.086518;192.168.1.1.8888;172.23.69.13.59034;83ed8c82d8ad
