timestamp;temperature;humidity
2024-06-26T06:30:37,860074819+01:00;28.5;64.4
2024-06-26T06:30:38,906301031+01:00;28.6;64.5
2024-06-26T06:30:39,950190073+01:00;28.6;64.7
2024-06-26T06:30:40,999894504+01:00;28.7;64.8
2024-06-26T06:30:42,043361348+01:00;28.8;64.9
2024-06-26T06:30:43,088965401+01:00;28.9;65.0
2024-06-26T06:30:44,135463380+01:00;29.0;65.1
2024-06-26T06:30:45,181346066+01:00;29.1;65.1
2024-06-26T06:30:46,228985440+01:00;29.2;65.1
2024-06-26T06:30:47,275449000+01:00;29.3;65.2
2024-06-26T06:30:48,321907059+01:00;29.4;65.2
2024-06-26T06:30:49,368135137+01:00;29.6;65.2
2024-06-26T06:30:50,415768080+01:00;29.6;65.2
2024-06-26T06:30:51,462400207+01:00;29.8;65.2
2024-06-26T06:30:52,508608657+01:00;29.9;65.1
2024-06-26T06:30:53,559569004+01:00;30.0;65.1
2024-06-26T06:30:54,607277806+01:00;30.1;65.1
2024-06-26T06:30:55,658413348+01:00;30.2;65.0
2024-06-26T06:30:56,708453284+01:00;30.3;64.9
2024-06-26T06:30:57,747795885+01:00;30.4;64.8
2024-06-26T06:30:58,780846312+01:00;30.6;64.8
2024-06-26T06:30:59,820532492+01:00;30.7;64.7
2024-06-26T06:31:00,867502553+01:00;30.8;64.7
2024-06-26T06:31:01,914140235+01:00;30.9;64.5
2024-06-26T06:31:02,957959288+01:00;31.1;64.4
2024-06-26T06:31:04,002745756+01:00;31.2;64.3
2024-06-26T06:31:05,049421619+01:00;31.3;64.2
2024-06-26T06:31:06,095094947+01:00;31.4;64.1
2024-06-26T06:31:07,141315949+01:00;31.5;64.0
2024-06-26T06:31:08,189074317+01:00;31.7;63.8
2024-06-26T06:31:09,240206717+01:00;31.8;63.8
2024-06-26T06:31:10,287586891+01:00;31.9;63.6
2024-06-26T06:31:11,334252707+01:00;32.0;63.5
2024-06-26T06:31:12,381306822+01:00;32.2;63.4
2024-06-26T06:31:13,427652257+01:00;32.3;63.2
2024-06-26T06:31:14,474659065+01:00;32.4;63.1
2024-06-26T06:31:15,521623183+01:00;32.6;62.9
2024-06-26T06:31:16,568570443+01:00;32.7;62.8
2024-06-26T06:31:17,615840013+01:00;32.8;62.6
2024-06-26T06:31:18,664523092+01:00;33.0;62.5
2024-06-26T06:31:19,708715140+01:00;33.1;62.3
2024-06-26T06:31:20,756362680+01:00;33.2;62.1
2024-06-26T06:31:21,803459142+01:00;33.4;62.0
2024-06-26T06:31:22,849705828+01:00;33.5;61.9
2024-06-26T06:31:23,896816908+01:00;33.6;61.7
2024-06-26T06:31:24,935394504+01:00;33.8;61.5
2024-06-26T06:31:25,973870293+01:00;33.9;61.4
2024-06-26T06:31:27,021961738+01:00;34.0;61.2
2024-06-26T06:31:28,069298823+01:00;34.1;61.0
2024-06-26T06:31:29,117171394+01:00;34.3;60.9
2024-06-26T06:31:30,164317886+01:00;34.4;60.7
2024-06-26T06:31:31,211121581+01:00;34.5;60.5
2024-06-26T06:31:32,259776233+01:00;34.7;60.4
2024-06-26T06:31:33,306352151+01:00;34.8;60.2
2024-06-26T06:31:34,352099750+01:00;34.9;60.0
2024-06-26T06:31:35,398267315+01:00;35.1;59.9
2024-06-26T06:31:36,444173749+01:00;35.2;59.7
2024-06-26T06:31:37,489978429+01:00;35.3;59.5
2024-06-26T06:31:38,533111299+01:00;35.5;59.3
2024-06-26T06:31:39,578808407+01:00;35.6;59.2
2024-06-26T06:31:40,625370480+01:00;35.7;59.0
2024-06-26T06:31:41,668414751+01:00;35.9;58.9
2024-06-26T06:31:42,711414559+01:00;36.0;58.8
2024-06-26T06:31:43,758085482+01:00;36.1;58.6
2024-06-26T06:31:44,805183557+01:00;36.2;58.5
2024-06-26T06:31:45,853699307+01:00;36.4;58.3
2024-06-26T06:31:46,901350175+01:00;36.5;58.2
2024-06-26T06:31:47,947910692+01:00;36.6;58.0
2024-06-26T06:31:48,993995651+01:00;36.7;57.9
2024-06-26T06:31:50,041431721+01:00;36.9;57.7
2024-06-26T06:31:51,088463796+01:00;37.0;57.5
2024-06-26T06:31:52,135840469+01:00;37.1;57.4
2024-06-26T06:31:53,182938928+01:00;37.3;57.2
2024-06-26T06:31:54,230828079+01:00;37.4;57.1
2024-06-26T06:31:55,275766199+01:00;37.5;56.9
2024-06-26T06:31:56,322870640+01:00;37.6;56.8
2024-06-26T06:31:57,369574004+01:00;37.7;56.6
2024-06-26T06:31:58,416703112+01:00;37.9;56.6
2024-06-26T06:31:59,464024162+01:00;38.0;56.4
2024-06-26T06:32:00,512036740+01:00;38.1;56.3
2024-06-26T06:32:01,558029850+01:00;38.2;56.2
2024-06-26T06:32:03,604099045+01:00;38.5;55.9
2024-06-26T06:32:04,650717772+01:00;38.6;55.8
2024-06-26T06:32:05,698145109+01:00;38.7;55.7
2024-06-26T06:32:06,746183660+01:00;38.8;55.6
2024-06-26T06:32:07,793682640+01:00;38.9;55.4
2024-06-26T06:32:08,839406423+01:00;39.1;55.2
2024-06-26T06:32:09,884011260+01:00;39.2;55.0
2024-06-26T06:32:10,931134605+01:00;39.3;54.8
2024-06-26T06:32:11,979007498+01:00;39.4;54.7
2024-06-26T06:32:13,026677488+01:00;39.5;54.6
2024-06-26T06:32:14,073602750+01:00;39.6;54.4
2024-06-26T06:32:15,120879485+01:00;39.7;54.3
2024-06-26T06:32:16,167974098+01:00;39.8;54.2
2024-06-26T06:32:17,218911076+01:00;39.9;54.1
2024-06-26T06:32:18,267258948+01:00;40.0;54.0
